β,Greedy,Heuristic,RH-2,RH-3,RH-4
0.01,0.5805758465587701,0.06553031025934701,0.10921744453932089,0.045584465796639335,0.022811249491210814
0.02,0.5651850619004752,0.07250598301690113,0.06442896157101574,0.015204360819752526,0.00399943211379658
0.03,0.5252235089236561,0.08308123735525182,0.04738890193463859,0.011110708524925525,0.00842510535722917
0.04,0.48660572077656056,0.09499193536041053,0.030519113635945713,0.004880841245600125,0.008933293298824791
0.05,0.4511990531340903,0.10431400014897253,0.021956382176199572,0.0033321670411930716,0.005375050379569669
0.1,0.3272314356477343,0.13899898995282925,0.005668165000574363,0.011338221022855987,0.005693173606437386
0.2,0.19133904079071304,0.18590204490917644,0.013821943348600882,0.0017180403790746982,0.0017173584072758075
0.3,0.1103713909974106,0.21449146450635223,6.621756120798049e-9,0.0025040908911095183,6.6217535878150205e-9
0.4,0.05230015186443692,0.26434110764469876,3.6233279576900326e-16,1.831578730085924e-5,-4.8997754793853714e-17
0.5,0.0,0.0,0.0,0.0,0.0
0.6,0.05230015254098261,0.26434111108066477,2.7720626761521127e-16,0.0015882273977047925,2.9320725505096716e-16
0.7,0.1103714097699334,0.21449150145058019,6.621789278366838e-9,1.3949282099573242e-5,6.6217889916067615e-9
0.8,0.19133932043542104,0.18583735554864733,0.01382143968364888,0.0017183713999577403,0.0017173610320659841
0.9,0.3272388532414365,0.13893833362628125,0.005803041580097555,0.011413763841314954,0.005309880183445702
0.95,0.45130489627749815,0.11634701849548078,0.03049818281797818,0.008660492928885833,0.015926347908886355
0.96,0.4868362192289443,0.10739649480684625,0.03328232442469117,0.010079480514009568,0.012233781611666616
0.97,0.5258190490195896,0.09523719277490689,0.04770812586686983,0.01431223384847839,0.010363036651383212
0.98,0.5672340022518514,0.07916591028183237,0.06494521352573453,0.01572462690681005,0.004505118883943708
0.99,0.582204747425955,0.06766533763922467,0.1052998152564867,0.0394042759204419,0.01624690205448372
